Date,Price,Open,High,Low,Vol.,Change %
2020-10-30,14.36,14.36,14.44,13.94,83.24K,-0.28%
2020-10-29,14.40,14.81,14.84,14.34,63.51K,-3.29%
2020-10-28,14.89,14.71,14.95,14.62,56.94K,0.40%
2020-10-27,14.83,14.83,15.04,14.68,55.07K,0.41%
2020-10-26,14.77,14.66,14.85,14.37,48.03K,0.34%
2020-10-23,14.72,14.78,14.88,14.59,39.80K,-0.41%
2020-10-22,14.78,14.50,14.94,14.47,58.02K,1.93%
2020-10-21,14.50,14.53,14.59,14.30,45.12K,-0.28%
2020-10-20,14.54,14.70,14.74,14.51,43.81K,-1.22%
2020-10-19,14.72,14.47,14.75,14.36,48.76K,2.01%
2020-10-16,14.43,14.21,14.46,14.15,35.37K,1.76%
2020-10-15,14.18,14.22,14.49,14.02,64.61K,-0.14%
2020-10-14,14.20,13.96,14.26,13.93,40.09K,1.36%
2020-10-13,14.01,13.86,14.15,13.85,50.10K,1.23%
2020-10-12,13.84,14.28,14.55,13.78,81.22K,-2.74%
2020-10-09,14.23,14.15,14.31,14.03,45.52K,0.42%
2020-10-08,14.17,14.09,14.24,14.08,44.95K,0.21%
2020-10-07,14.14,13.83,14.18,13.77,75.67K,1.87%
2020-10-06,13.88,13.61,13.90,13.56,56.88K,1.98%
2020-10-05,13.61,13.55,13.75,13.49,41.57K,0.44%
2020-10-02,13.55,13.52,13.68,13.31,49.78K,-0.22%
2020-10-01,13.58,13.51,13.77,13.36,63.59K,3.90%
2020-09-30,13.07,13.00,13.10,12.83,4.64K,0.62%
2020-09-29,12.99,12.62,13.07,12.49,15.83K,3.18%
2020-09-28,12.59,13.05,13.18,12.57,23.99K,-3.15%
2020-09-25,13.00,12.83,13.03,12.83,35.01K,1.25%
2020-09-24,12.84,12.82,12.93,12.71,31.79K,0.16%
2020-09-23,12.82,12.89,13.06,12.77,33.26K,-0.54%
2020-09-22,12.89,12.51,12.95,12.51,45.64K,2.71%
2020-09-21,12.55,12.80,12.85,12.46,45.48K,-1.72%
2020-09-18,12.77,12.62,12.79,12.50,35.71K,1.19%
2020-09-17,12.62,12.30,12.69,12.22,44.70K,2.19%
2020-09-16,12.35,12.15,12.43,12.06,112.81K,2.24%
2020-09-15,12.08,11.77,12.10,11.74,110.48K,2.72%
2020-09-14,11.76,11.91,11.98,11.73,100.16K,-1.34%
2020-09-11,11.92,11.93,11.98,11.76,79.73K,0.08%
2020-09-10,11.91,12.00,12.03,11.85,82.59K,-1.00%
2020-09-09,12.03,12.07,12.17,11.93,99.92K,-0.08%
2020-09-08,12.04,11.99,12.11,11.78,93.42K,0.92%
2020-09-04,11.93,12.09,12.14,11.86,78.71K,-1.16%
2020-09-03,12.07,12.41,12.44,11.90,111.90K,-2.97%
2020-09-02,12.44,12.60,12.64,12.42,88.07K,-1.27%
2020-09-01,12.60,12.66,12.80,12.54,68.53K,-0.47%
2020-08-31,12.66,12.65,12.74,12.56,27.86K,0.48%
2020-08-28,12.60,12.82,12.84,12.58,41.53K,-1.33%
2020-08-27,12.77,12.61,12.82,12.50,50.49K,1.51%
2020-08-26,12.58,12.78,12.87,12.54,51.53K,-1.41%
2020-08-25,12.76,12.71,12.87,12.60,47.15K,0.39%
2020-08-24,12.71,12.83,12.97,12.65,57.13K,-0.94%
2020-08-21,12.83,13.04,13.08,12.80,44.17K,-1.38%
2020-08-20,13.01,13.23,13.23,12.97,45.51K,-1.74%
2020-08-19,13.24,12.92,13.26,12.90,46.79K,2.72%
2020-08-18,12.89,13.06,13.12,12.74,53.02K,-1.30%
2020-08-17,13.06,13.10,13.25,13.01,44.79K,-0.31%
2020-08-14,13.10,13.14,13.28,13.06,46.88K,-0.08%
2020-08-13,13.11,12.87,13.14,12.84,60.11K,2.10%
2020-08-12,12.84,12.74,12.93,12.65,41.68K,0.78%
2020-08-11,12.74,12.53,12.82,12.43,42.08K,1.51%
2020-08-10,12.55,12.59,12.82,12.41,48.62K,-0.95%
2020-08-07,12.67,12.95,13.00,12.63,53.64K,-2.09%
2020-08-06,12.94,12.65,12.98,12.51,57.73K,3.19%
2020-08-05,12.54,12.80,12.96,12.49,61.50K,-1.88%
2020-08-04,12.78,12.67,12.80,12.55,50.74K,0.47%
2020-08-03,12.72,12.67,12.80,12.39,72.69K,0.63%
2020-07-31,12.64,12.12,12.72,12.11,96.84K,4.38%
2020-07-30,12.11,11.90,12.19,11.89,46.00K,0.83%
2020-07-29,12.01,12.05,12.10,11.84,36.29K,0.00%
2020-07-28,12.01,12.20,12.27,11.95,56.71K,-0.91%
2020-07-27,12.12,11.51,12.19,11.51,102.60K,5.48%
2020-07-24,11.49,11.67,11.73,11.48,42.17K,-2.38%
2020-07-23,11.77,11.89,11.89,11.72,25.86K,-0.76%
2020-07-22,11.86,11.70,11.88,11.64,32.08K,1.63%
2020-07-21,11.67,11.77,11.94,11.63,41.00K,-0.43%
2020-07-20,11.72,11.69,11.76,11.52,31.21K,-0.09%
2020-07-17,11.73,11.77,11.87,11.68,20.94K,-0.51%
2020-07-16,11.79,11.89,11.97,11.68,37.06K,-0.25%
2020-07-15,11.82,11.38,11.90,11.36,75.23K,4.42%
2020-07-14,11.32,11.49,11.55,11.27,64.73K,-2.25%
2020-07-13,11.58,11.71,11.75,11.53,47.42K,-1.53%
2020-07-10,11.76,11.81,11.93,11.68,55.82K,-0.68%
2020-07-09,11.84,12.11,12.15,11.82,58.01K,-1.99%
2020-07-08,12.08,12.14,12.29,11.97,55.01K,-0.82%
2020-07-07,12.18,11.88,12.23,11.78,45.00K,2.10%
2020-07-06,11.93,12.20,12.27,11.90,43.24K,-2.53%
2020-07-02,12.24,12.18,12.25,12.02,41.86K,0.58%
2020-07-01,12.17,12.03,12.25,12.01,66.02K,2.79%
2020-06-30,11.84,11.69,11.90,11.68,4.89K,1.11%
2020-06-29,11.71,11.46,11.77,11.33,10.90K,1.39%
2020-06-26,11.55,11.77,11.87,11.45,23.99K,-2.20%
2020-06-25,11.81,11.77,11.83,11.65,36.03K,0.51%
2020-06-24,11.75,11.80,12.05,11.65,44.03K,-0.34%
2020-06-23,11.79,11.95,11.96,11.76,37.55K,-1.09%
2020-06-22,11.92,12.04,12.11,11.82,38.10K,-1.08%
2020-06-19,12.05,11.90,12.17,11.90,25.63K,1.35%
2020-06-18,11.89,12.09,12.14,11.81,40.89K,-1.82%
2020-06-17,12.11,12.09,12.18,11.93,38.88K,-0.66%
2020-06-16,12.19,12.10,12.25,12.01,57.90K,1.25%
2020-06-15,12.04,11.77,12.06,11.62,80.29K,1.43%
2020-06-12,11.87,11.84,12.09,11.60,69.07K,-0.59%
2020-06-11,11.94,12.17,12.18,11.88,86.11K,-2.37%
2020-06-10,12.23,12.00,12.25,11.94,98.57K,1.92%
2020-06-09,12.00,11.90,12.03,11.80,121.25K,0.50%
2020-06-08,11.94,12.11,12.27,11.89,100.03K,-0.67%
2020-06-05,12.02,11.74,12.06,11.73,85.15K,2.47%
2020-06-04,11.73,11.61,11.74,11.44,57.68K,0.95%
2020-06-03,11.62,11.30,11.64,11.22,69.98K,3.57%
2020-06-02,11.22,11.03,11.28,11.01,51.99K,2.00%
2020-06-01,11.00,10.97,11.13,10.83,52.16K,0.82%
